category,subcategory,style,color,name,asset_key,base_path,rarity,price_cr,obtain_method
clothes,shorts,,maroon,Shorts Maroon,male_shorts_maroon,\AssetsStore\spritesheets\clothes\male\shorts\{animation}\maroon.png,common,3,store
clothes,shorts,,navy,Shorts Navy,male_shorts_navy,\AssetsStore\spritesheets\clothes\male\shorts\{animation}\navy.png,common,3,store
clothes,shorts,,orange,Shorts Orange,male_shorts_orange,\AssetsStore\spritesheets\clothes\male\shorts\{animation}\orange.png,common,3,store
clothes,shorts,,pink,Shorts Pink,male_shorts_pink,\AssetsStore\spritesheets\clothes\male\shorts\{animation}\pink.png,rare,0,gacha
clothes,shorts,,purple,Shorts Purple,male_shorts_purple,\AssetsStore\spritesheets\clothes\male\shorts\{animation}\purple.png,rare,0,gacha
clothes,shorts,,red,Shorts Red,male_shorts_red,\AssetsStore\spritesheets\clothes\male\shorts\{animation}\red.png,common,3,store
clothes,shorts,,rose,Shorts Rose,male_shorts_rose,\AssetsStore\spritesheets\clothes\male\shorts\{animation}\rose.png,common,3,store
clothes,shorts,,sky,Shorts Sky,male_shorts_sky,\AssetsStore\spritesheets\clothes\male\shorts\{animation}\sky.png,common,3,store
clothes,shorts,,slate,Shorts Slate,male_shorts_slate,\AssetsStore\spritesheets\clothes\male\shorts\{animation}\slate.png,common,3,store
clothes,shorts,,tan,Shorts Tan,male_shorts_tan,\AssetsStore\spritesheets\clothes\male\shorts\{animation}\tan.png,common,3,store
clothes,shorts,,teal,Shorts Teal,male_shorts_teal,\AssetsStore\spritesheets\clothes\male\shorts\{animation}\teal.png,common,3,store
clothes,shorts,,walnut,Shorts Walnut,male_shorts_walnut,\AssetsStore\spritesheets\clothes\male\shorts\{animation}\walnut.png,common,3,store
clothes,shorts,,white,Shorts White,male_shorts_white,\AssetsStore\spritesheets\clothes\male\shorts\{animation}\white.png,common,3,store
clothes,shorts,,yellow,Shorts Yellow,male_shorts_yellow,\AssetsStore\spritesheets\clothes\male\shorts\{animation}\yellow.png,common,3,store
clothes,shortsleeves,,black,Shortsleeves Black,male_shortsleeves_black,\AssetsStore\spritesheets\clothes\male\shortsleeves\{animation}\black.png,common,3,store
clothes,shortsleeves,,blue,Shortsleeves Blue,male_shortsleeves_blue,\AssetsStore\spritesheets\clothes\male\shortsleeves\{animation}\blue.png,rare,0,gacha
clothes,shortsleeves,,bluegray,Shortsleeves Bluegray,male_shortsleeves_bluegray,\AssetsStore\spritesheets\clothes\male\shortsleeves\{animation}\bluegray.png,rare,0,gacha
clothes,shortsleeves,,brown,Shortsleeves Brown,male_shortsleeves_brown,\AssetsStore\spritesheets\clothes\male\shortsleeves\{animation}\brown.png,common,3,store
clothes,shortsleeves,,charcoal,Shortsleeves Charcoal,male_shortsleeves_charcoal,\AssetsStore\spritesheets\clothes\male\shortsleeves\{animation}\charcoal.png,common,3,store
clothes,shortsleeves,,forest,Shortsleeves Forest,male_shortsleeves_forest,\AssetsStore\spritesheets\clothes\male\shortsleeves\{animation}\forest.png,common,3,store
clothes,shortsleeves,,gray,Shortsleeves Gray,male_shortsleeves_gray,\AssetsStore\spritesheets\clothes\male\shortsleeves\{animation}\gray.png,common,3,store
clothes,shortsleeves,,green,Shortsleeves Green,male_shortsleeves_green,\AssetsStore\spritesheets\clothes\male\shortsleeves\{animation}\green.png,rare,0,gacha
clothes,shortsleeves,,lavender,Shortsleeves Lavender,male_shortsleeves_lavender,\AssetsStore\spritesheets\clothes\male\shortsleeves\{animation}\lavender.png,epic,0,gacha
clothes,shortsleeves,,leather,Shortsleeves Leather,male_shortsleeves_leather,\AssetsStore\spritesheets\clothes\male\shortsleeves\{animation}\leather.png,common,3,store
clothes,shortsleeves,,maroon,Shortsleeves Maroon,male_shortsleeves_maroon,\AssetsStore\spritesheets\clothes\male\shortsleeves\{animation}\maroon.png,common,3,store
clothes,shortsleeves,,navy,Shortsleeves Navy,male_shortsleeves_navy,\AssetsStore\spritesheets\clothes\male\shortsleeves\{animation}\navy.png,common,3,store
clothes,shortsleeves,,orange,Shortsleeves Orange,male_shortsleeves_orange,\AssetsStore\spritesheets\clothes\male\shortsleeves\{animation}\orange.png,common,3,store
clothes,shortsleeves,,pink,Shortsleeves Pink,male_shortsleeves_pink,\AssetsStore\spritesheets\clothes\male\shortsleeves\{animation}\pink.png,rare,0,gacha
clothes,shortsleeves,,purple,Shortsleeves Purple,male_shortsleeves_purple,\AssetsStore\spritesheets\clothes\male\shortsleeves\{animation}\purple.png,rare,0,gacha
clothes,shortsleeves,,red,Shortsleeves Red,male_shortsleeves_red,\AssetsStore\spritesheets\clothes\male\shortsleeves\{animation}\red.png,common,3,store
clothes,shortsleeves,,rose,Shortsleeves Rose,male_shortsleeves_rose,\AssetsStore\spritesheets\clothes\male\shortsleeves\{animation}\rose.png,common,3,store
clothes,shortsleeves,,sky,Shortsleeves Sky,male_shortsleeves_sky,\AssetsStore\spritesheets\clothes\male\shortsleeves\{animation}\sky.png,common,3,store
clothes,shortsleeves,,slate,Shortsleeves Slate,male_shortsleeves_slate,\AssetsStore\spritesheets\clothes\male\shortsleeves\{animation}\slate.png,common,3,store
clothes,shortsleeves,,tan,Shortsleeves Tan,male_shortsleeves_tan,\AssetsStore\spritesheets\clothes\male\shortsleeves\{animation}\tan.png,common,3,store
clothes,shortsleeves,,teal,Shortsleeves Teal,male_shortsleeves_teal,\AssetsStore\spritesheets\clothes\male\shortsleeves\{animation}\teal.png,common,3,store
clothes,shortsleeves,,walnut,Shortsleeves Walnut,male_shortsleeves_walnut,\AssetsStore\spritesheets\clothes\male\shortsleeves\{animation}\walnut.png,common,3,store
clothes,shortsleeves,,white,Shortsleeves White,male_shortsleeves_white,\AssetsStore\spritesheets\clothes\male\shortsleeves\{animation}\white.png,common,3,store
clothes,shortsleeves,,yellow,Shortsleeves Yellow,male_shortsleeves_yellow,\AssetsStore\spritesheets\clothes\male\shortsleeves\{animation}\yellow.png,common,3,store
clothes,tshirt,,black,Tshirt Black,male_tshirt_black,\AssetsStore\spritesheets\clothes\male\tshirt\{animation}\black.png,common,3,store
clothes,tshirt,,blue,Tshirt Blue,male_tshirt_blue,\AssetsStore\spritesheets\clothes\male\tshirt\{animation}\blue.png,rare,0,gacha
clothes,tshirt,,bluegray,Tshirt Bluegray,male_tshirt_bluegray,\AssetsStore\spritesheets\clothes\male\tshirt\{animation}\bluegray.png,rare,0,gacha
clothes,tshirt,,brown,Tshirt Brown,male_tshirt_brown,\AssetsStore\spritesheets\clothes\male\tshirt\{animation}\brown.png,common,3,store
clothes,tshirt,,charcoal,Tshirt Charcoal,male_tshirt_charcoal,\AssetsStore\spritesheets\clothes\male\tshirt\{animation}\charcoal.png,common,3,store
clothes,tshirt,,forest,Tshirt Forest,male_tshirt_forest,\AssetsStore\spritesheets\clothes\male\tshirt\{animation}\forest.png,common,3,store
clothes,tshirt,,gray,Tshirt Gray,male_tshirt_gray,\AssetsStore\spritesheets\clothes\male\tshirt\{animation}\gray.png,common,3,store
clothes,tshirt,,green,Tshirt Green,male_tshirt_green,\AssetsStore\spritesheets\clothes\male\tshirt\{animation}\green.png,rare,0,gacha
clothes,tshirt,,lavender,Tshirt Lavender,male_tshirt_lavender,\AssetsStore\spritesheets\clothes\male\tshirt\{animation}\lavender.png,epic,0,gacha
clothes,tshirt,,leather,Tshirt Leather,male_tshirt_leather,\AssetsStore\spritesheets\clothes\male\tshirt\{animation}\leather.png,common,3,store
clothes,tshirt,,maroon,Tshirt Maroon,male_tshirt_maroon,\AssetsStore\spritesheets\clothes\male\tshirt\{animation}\maroon.png,common,3,store
clothes,tshirt,,navy,Tshirt Navy,male_tshirt_navy,\AssetsStore\spritesheets\clothes\male\tshirt\{animation}\navy.png,common,3,store
clothes,tshirt,,orange,Tshirt Orange,male_tshirt_orange,\AssetsStore\spritesheets\clothes\male\tshirt\{animation}\orange.png,common,3,store
clothes,tshirt,,pink,Tshirt Pink,male_tshirt_pink,\AssetsStore\spritesheets\clothes\male\tshirt\{animation}\pink.png,rare,0,gacha
clothes,tshirt,,purple,Tshirt Purple,male_tshirt_purple,\AssetsStore\spritesheets\clothes\male\tshirt\{animation}\purple.png,rare,0,gacha
clothes,tshirt,,red,Tshirt Red,male_tshirt_red,\AssetsStore\spritesheets\clothes\male\tshirt\{animation}\red.png,common,3,store
clothes,tshirt,,rose,Tshirt Rose,male_tshirt_rose,\AssetsStore\spritesheets\clothes\male\tshirt\{animation}\rose.png,common,3,store
clothes,tshirt,,sky,Tshirt Sky,male_tshirt_sky,\AssetsStore\spritesheets\clothes\male\tshirt\{animation}\sky.png,common,3,store
clothes,tshirt,,slate,Tshirt Slate,male_tshirt_slate,\AssetsStore\spritesheets\clothes\male\tshirt\{animation}\slate.png,common,3,store
clothes,tshirt,,tan,Tshirt Tan,male_tshirt_tan,\AssetsStore\spritesheets\clothes\male\tshirt\{animation}\tan.png,common,3,store
clothes,tshirt,,teal,Tshirt Teal,male_tshirt_teal,\AssetsStore\spritesheets\clothes\male\tshirt\{animation}\teal.png,common,3,store
clothes,tshirt,,walnut,Tshirt Walnut,male_tshirt_walnut,\AssetsStore\spritesheets\clothes\male\tshirt\{animation}\walnut.png,common,3,store
clothes,tshirt,,white,Tshirt White,male_tshirt_white,\AssetsStore\spritesheets\clothes\male\tshirt\{animation}\white.png,common,3,store
clothes,tshirt,,yellow,Tshirt Yellow,male_tshirt_yellow,\AssetsStore\spritesheets\clothes\male\tshirt\{animation}\yellow.png,common,3,store
hair,pixie,,ash,Pixie Ash Hair,pixie_ash,\AssetsStore\spritesheets\hair\pixie\ash.png,common,3,store
hair,pixie,,black,Pixie Black Hair,pixie_black,\AssetsStore\spritesheets\hair\pixie\black.png,common,3,store
hair,pixie,,blonde,Pixie Blonde Hair,pixie_blonde,\AssetsStore\spritesheets\hair\pixie\blonde.png,common,3,store
hair,pixie,,blue,Pixie Blue Hair,pixie_blue,\AssetsStore\spritesheets\hair\pixie\blue.png,rare,0,gacha
hair,pixie,,carrot,Pixie Carrot Hair,pixie_carrot,\AssetsStore\spritesheets\hair\pixie\carrot.png,common,3,store
hair,pixie,,chestnut,Pixie Chestnut Hair,pixie_chestnut,\AssetsStore\spritesheets\hair\pixie\chestnut.png,common,3,store
hair,pixie,,dark_brown,Pixie Dark_Brown Hair,pixie_dark_brown,\AssetsStore\spritesheets\hair\pixie\dark_brown.png,common,3,store
hair,pixie,,dark_gray,Pixie Dark_Gray Hair,pixie_dark_gray,\AssetsStore\spritesheets\hair\pixie\dark_gray.png,common,3,store
hair,pixie,,ginger,Pixie Ginger Hair,pixie_ginger,\AssetsStore\spritesheets\hair\pixie\ginger.png,common,3,store
hair,pixie,,gold,Pixie Gold Hair,pixie_gold,\AssetsStore\spritesheets\hair\pixie\gold.png,common,3,store
hair,pixie,,gray,Pixie Gray Hair,pixie_gray,\AssetsStore\spritesheets\hair\pixie\gray.png,common,3,store
hair,pixie,,green,Pixie Green Hair,pixie_green,\AssetsStore\spritesheets\hair\pixie\green.png,rare,0,gacha
hair,pixie,,light_brown,Pixie Light_Brown Hair,pixie_light_brown,\AssetsStore\spritesheets\hair\pixie\light_brown.png,common,3,store
hair,pixie,,navy,Pixie Navy Hair,pixie_navy,\AssetsStore\spritesheets\hair\pixie\navy.png,common,3,store
hair,pixie,,orange,Pixie Orange Hair,pixie_orange,\AssetsStore\spritesheets\hair\pixie\orange.png,common,3,store
hair,pixie,,pink,Pixie Pink Hair,pixie_pink,\AssetsStore\spritesheets\hair\pixie\pink.png,rare,0,gacha
hair,pixie,,platinum,Pixie Platinum Hair,pixie_platinum,\AssetsStore\spritesheets\hair\pixie\platinum.png,legendary,0,gacha
hair,pixie,,purple,Pixie Purple Hair,pixie_purple,\AssetsStore\spritesheets\hair\pixie\purple.png,rare,0,gacha
hair,pixie,,raven,Pixie Raven Hair,pixie_raven,\AssetsStore\spritesheets\hair\pixie\raven.png,common,3,store
hair,pixie,,red,Pixie Red Hair,pixie_red,\AssetsStore\spritesheets\hair\pixie\red.png,common,3,store
hair,pixie,,redhead,Pixie Redhead Hair,pixie_redhead,\AssetsStore\spritesheets\hair\pixie\redhead.png,common,3,store
hair,pixie,,rose,Pixie Rose Hair,pixie_rose,\AssetsStore\spritesheets\hair\pixie\rose.png,common,3,store
hair,pixie,,sandy,Pixie Sandy Hair,pixie_sandy,\AssetsStore\spritesheets\hair\pixie\sandy.png,common,3,store
hair,pixie,,strawberry,Pixie Strawberry Hair,pixie_strawberry,\AssetsStore\spritesheets\hair\pixie\strawberry.png,common,3,store
hair,pixie,,violet,Pixie Violet Hair,pixie_violet,\AssetsStore\spritesheets\hair\pixie\violet.png,common,3,store
hair,pixie,,white,Pixie White Hair,pixie_white,\AssetsStore\spritesheets\hair\pixie\white.png,common,3,store
hair,messy1,,ash,Messy1 Ash Hair,messy1_ash,\AssetsStore\spritesheets\hair\messy1\ash.png,common,3,store
hair,messy1,,black,Messy1 Black Hair,messy1_black,\AssetsStore\spritesheets\hair\messy1\black.png,common,3,store
hair,messy1,,blonde,Messy1 Blonde Hair,messy1_blonde,\AssetsStore\spritesheets\hair\messy1\blonde.png,common,3,store
hair,messy1,,blue,Messy1 Blue Hair,messy1_blue,\AssetsStore\spritesheets\hair\messy1\blue.png,rare,0,gacha
hair,messy1,,carrot,Messy1 Carrot Hair,messy1_carrot,\AssetsStore\spritesheets\hair\messy1\carrot.png,common,3,store
hair,messy1,,chestnut,Messy1 Chestnut Hair,messy1_chestnut,\AssetsStore\spritesheets\hair\messy1\chestnut.png,common,3,store
hair,messy1,,dark_brown,Messy1 Dark_Brown Hair,messy1_dark_brown,\AssetsStore\spritesheets\hair\messy1\dark_brown.png,common,3,store
hair,messy1,,dark_gray,Messy1 Dark_Gray Hair,messy1_dark_gray,\AssetsStore\spritesheets\hair\messy1\dark_gray.png,common,3,store
hair,messy1,,ginger,Messy1 Ginger Hair,messy1_ginger,\AssetsStore\spritesheets\hair\messy1\ginger.png,common,3,store
hair,messy1,,gold,Messy1 Gold Hair,messy1_gold,\AssetsStore\spritesheets\hair\messy1\gold.png,common,3,store
hair,messy1,,gray,Messy1 Gray Hair,messy1_gray,\AssetsStore\spritesheets\hair\messy1\gray.png,common,3,store
hair,messy1,,green,Messy1 Green Hair,messy1_green,\AssetsStore\spritesheets\hair\messy1\green.png,rare,0,gacha
hair,messy1,,light_brown,Messy1 Light_Brown Hair,messy1_light_brown,\AssetsStore\spritesheets\hair\messy1\light_brown.png,common,3,store
hair,messy1,,navy,Messy1 Navy Hair,messy1_navy,\AssetsStore\spritesheets\hair\messy1\navy.png,common,3,store
hair,messy1,,orange,Messy1 Orange Hair,messy1_orange,\AssetsStore\spritesheets\hair\messy1\orange.png,common,3,store
hair,messy1,,pink,Messy1 Pink Hair,messy1_pink,\AssetsStore\spritesheets\hair\messy1\pink.png,rare,0,gacha
hair,messy1,,platinum,Messy1 Platinum Hair,messy1_platinum,\AssetsStore\spritesheets\hair\messy1\platinum.png,legendary,0,gacha
hair,messy1,,purple,Messy1 Purple Hair,messy1_purple,\AssetsStore\spritesheets\hair\messy1\purple.png,rare,0,gacha
hair,messy1,,raven,Messy1 Raven Hair,messy1_raven,\AssetsStore\spritesheets\hair\messy1\raven.png,common,3,store
hair,messy1,,red,Messy1 Red Hair,messy1_red,\AssetsStore\spritesheets\hair\messy1\red.png,common,3,store
hair,messy1,,redhead,Messy1 Redhead Hair,messy1_redhead,\AssetsStore\spritesheets\hair\messy1\redhead.png,common,3,store
hair,messy1,,rose,Messy1 Rose Hair,messy1_rose,\AssetsStore\spritesheets\hair\messy1\rose.png,common,3,store
hair,messy1,,sandy,Messy1 Sandy Hair,messy1_sandy,\AssetsStore\spritesheets\hair\messy1\sandy.png,common,3,store
hair,messy1,,strawberry,Messy1 Strawberry Hair,messy1_strawberry,\AssetsStore\spritesheets\hair\messy1\strawberry.png,common,3,store
hair,messy1,,violet,Messy1 Violet Hair,messy1_violet,\AssetsStore\spritesheets\hair\messy1\violet.png,common,3,store
hair,messy1,,white,Messy1 White Hair,messy1_white,\AssetsStore\spritesheets\hair\messy1\white.png,common,3,store
hair,long,,ash,Long Ash Hair,long_ash,\AssetsStore\spritesheets\hair\long\ash.png,common,3,store
hair,long,,black,Long Black Hair,long_black,\AssetsStore\spritesheets\hair\long\black.png,common,3,store
hair,long,,blonde,Long Blonde Hair,long_blonde,\AssetsStore\spritesheets\hair\long\blonde.png,common,3,store
hair,long,,blue,Long Blue Hair,long_blue,\AssetsStore\spritesheets\hair\long\blue.png,rare,0,gacha
hair,long,,carrot,Long Carrot Hair,long_carrot,\AssetsStore\spritesheets\hair\long\carrot.png,common,3,store
hair,long,,chestnut,Long Chestnut Hair,long_chestnut,\AssetsStore\spritesheets\hair\long\chestnut.png,common,3,store
hair,long,,dark_brown,Long Dark_Brown Hair,long_dark_brown,\AssetsStore\spritesheets\hair\long\dark_brown.png,common,3,store
hair,long,,dark_gray,Long Dark_Gray Hair,long_dark_gray,\AssetsStore\spritesheets\hair\long\dark_gray.png,common,3,store
hair,long,,ginger,Long Ginger Hair,long_ginger,\AssetsStore\spritesheets\hair\long\ginger.png,common,3,store
hair,long,,gold,Long Gold Hair,long_gold,\AssetsStore\spritesheets\hair\long\gold.png,common,3,store
hair,long,,gray,Long Gray Hair,long_gray,\AssetsStore\spritesheets\hair\long\gray.png,common,3,store
hair,long,,green,Long Green Hair,long_green,\AssetsStore\spritesheets\hair\long\green.png,rare,0,gacha
hair,long,,light_brown,Long Light_Brown Hair,long_light_brown,\AssetsStore\spritesheets\hair\long\light_brown.png,common,3,store
hair,long,,navy,Long Navy Hair,long_navy,\AssetsStore\spritesheets\hair\long\navy.png,common,3,store
hair,long,,orange,Long Orange Hair,long_orange,\AssetsStore\spritesheets\hair\long\orange.png,common,3,store
hair,long,,pink,Long Pink Hair,long_pink,\AssetsStore\spritesheets\hair\long\pink.png,rare,0,gacha
hair,long,,platinum,Long Platinum Hair,long_platinum,\AssetsStore\spritesheets\hair\long\platinum.png,legendary,0,gacha
hair,long,,purple,Long Purple Hair,long_purple,\AssetsStore\spritesheets\hair\long\purple.png,rare,0,gacha
hair,long,,raven,Long Raven Hair,long_raven,\AssetsStore\spritesheets\hair\long\raven.png,common,3,store
hair,long,,red,Long Red Hair,long_red,\AssetsStore\spritesheets\hair\long\red.png,common,3,store
hair,long,,redhead,Long Redhead Hair,long_redhead,\AssetsStore\spritesheets\hair\long\redhead.png,common,3,store
hair,long,,rose,Long Rose Hair,long_rose,\AssetsStore\spritesheets\hair\long\rose.png,common,3,store
hair,long,,sandy,Long Sandy Hair,long_sandy,\AssetsStore\spritesheets\hair\long\sandy.png,common,3,store
hair,long,,strawberry,Long Strawberry Hair,long_strawberry,\AssetsStore\spritesheets\hair\long\strawberry.png,common,3,store
hair,long,,violet,Long Violet Hair,long_violet,\AssetsStore\spritesheets\hair\long\violet.png,common,3,store
hair,long,,white,Long White Hair,long_white,\AssetsStore\spritesheets\hair\long\white.png,common,3,store
hair,dreadlocks_long,,ash,Dreadlocks_Long Ash Hair,dreadlocks_long_ash,\AssetsStore\spritesheets\hair\dreadlocks_long\ash.png,common,3,store
hair,dreadlocks_long,,black,Dreadlocks_Long Black Hair,dreadlocks_long_black,\AssetsStore\spritesheets\hair\dreadlocks_long\black.png,common,3,store
hair,dreadlocks_long,,blonde,Dreadlocks_Long Blonde Hair,dreadlocks_long_blonde,\AssetsStore\spritesheets\hair\dreadlocks_long\blonde.png,common,3,store
